id,filename,is_ai,generator,category
ai_art_qwen_2512_art_08.png,images/ai/art/qwen_2512_art_08.png,true,Qwen 2512,art
ai_art_flux_2_flex_art_03.png,images/ai/art/flux_2_flex_art_03.png,true,Flux,art
ai_art_seedream_v3_art_07.png,images/ai/art/seedream_v3_art_07.png,true,Seedream,art
ai_art_seedream_v3_art_06.png,images/ai/art/seedream_v3_art_06.png,true,Seedream,art
ai_art_flux_2_flex_art_02.png,images/ai/art/flux_2_flex_art_02.png,true,Flux,art
ai_art_glm_image_art_01.png,images/ai/art/glm_image_art_01.png,true,GLM Image,art
ai_art_qwen_2512_art_09.png,images/ai/art/qwen_2512_art_09.png,true,Qwen 2512,art
ai_art_wan_v2.6_art_09.png,images/ai/art/wan_v2.6_art_09.png,true,Wan v2.6,art
ai_art_flux_schnell_art_08.png,images/ai/art/flux_schnell_art_08.png,true,Flux Schnell,art
ai_art_glm_image_art_03.png,images/ai/art/glm_image_art_03.png,true,GLM Image,art
ai_art_seedream_v3_art_10.png,images/ai/art/seedream_v3_art_10.png,true,Seedream,art
ai_art_seedream_v3_art_04.png,images/ai/art/seedream_v3_art_04.png,true,Seedream,art
ai_art_seedream_v3_art_05.png,images/ai/art/seedream_v3_art_05.png,true,Seedream,art
ai_art_flux_2_flex_art_01.png,images/ai/art/flux_2_flex_art_01.png,true,Flux,art
ai_art_glm_image_art_02.png,images/ai/art/glm_image_art_02.png,true,GLM Image,art
ai_art_flux_schnell_art_09.png,images/ai/art/flux_schnell_art_09.png,true,Flux Schnell,art
ai_art_wan_v2.6_art_08.png,images/ai/art/wan_v2.6_art_08.png,true,Wan v2.6,art
ai_art_z_image_art_09.png,images/ai/art/z_image_art_09.png,true,Z,art
ai_art_glm_image_art_06.png,images/ai/art/glm_image_art_06.png,true,GLM Image,art
ai_art_flux_2_flex_art_05.png,images/ai/art/flux_2_flex_art_05.png,true,Flux,art
ai_art_seedream_v3_art_01.png,images/ai/art/seedream_v3_art_01.png,true,Seedream,art
ai_art_flux_2_flex_art_10.png,images/ai/art/flux_2_flex_art_10.png,true,Flux,art
ai_art_flux_2_flex_art_04.png,images/ai/art/flux_2_flex_art_04.png,true,Flux,art
ai_art_glm_image_art_07.png,images/ai/art/glm_image_art_07.png,true,GLM Image,art
ai_art_z_image_art_08.png,images/ai/art/z_image_art_08.png,true,Z,art
ai_art_glm_image_art_05.png,images/ai/art/glm_image_art_05.png,true,GLM Image,art
ai_art_flux_2_flex_art_06.png,images/ai/art/flux_2_flex_art_06.png,true,Flux,art
ai_art_seedream_v3_art_02.png,images/ai/art/seedream_v3_art_02.png,true,Seedream,art
ai_art_seedream_v3_art_03.png,images/ai/art/seedream_v3_art_03.png,true,Seedream,art
ai_art_flux_2_flex_art_07.png,images/ai/art/flux_2_flex_art_07.png,true,Flux,art
ai_art_glm_image_art_10.png,images/ai/art/glm_image_art_10.png,true,GLM Image,art
ai_art_glm_image_art_04.png,images/ai/art/glm_image_art_04.png,true,GLM Image,art
ai_art_hunyuan_v3_art_07.png,images/ai/art/hunyuan_v3_art_07.png,true,Hunyuan v3,art
ai_art_ideogram_v3_art_04.png,images/ai/art/ideogram_v3_art_04.png,true,Ideogram v3,art
ai_art_ideogram_v3_art_10.png,images/ai/art/ideogram_v3_art_10.png,true,Ideogram v3,art
ai_art_sd_3.5_large_art_08.png,images/ai/art/sd_3.5_large_art_08.png,true,Sd,art
ai_art_seedream_v4_art_03.png,images/ai/art/seedream_v4_art_03.png,true,Seedream,art
ai_art_leonardo_phoenix_art_06.png,images/ai/art/leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art
ai_art_leonardo_phoenix_art_07.png,images/ai/art/leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art
ai_art_grok_aurora_art_01.png,images/ai/art/grok_aurora_art_01.png,true,Grok Aurora,art
ai_art_seedream_v4_art_02.png,images/ai/art/seedream_v4_art_02.png,true,Seedream,art
ai_art_sd_3.5_large_art_09.png,images/ai/art/sd_3.5_large_art_09.png,true,Sd,art
ai_art_ideogram_v3_art_05.png,images/ai/art/ideogram_v3_art_05.png,true,Ideogram v3,art
ai_art_hunyuan_v3_art_06.png,images/ai/art/hunyuan_v3_art_06.png,true,Hunyuan v3,art
ai_art_hunyuan_v3_art_04.png,images/ai/art/hunyuan_v3_art_04.png,true,Hunyuan v3,art
ai_art_hunyuan_v3_art_10.png,images/ai/art/hunyuan_v3_art_10.png,true,Hunyuan v3,art
ai_art_recraft_v3_art_09.png,images/ai/art/recraft_v3_art_09.png,true,Recraft v3,art
ai_art_ideogram_v3_art_07.png,images/ai/art/ideogram_v3_art_07.png,true,Ideogram v3,art
ai_art_grok_aurora_art_03.png,images/ai/art/grok_aurora_art_03.png,true,Grok Aurora,art
ai_art_leonardo_phoenix_art_05.png,images/ai/art/leonardo_phoenix_art_05.png,true,Leonardo Phoenix,art
ai_art_leonardo_phoenix_art_10.png,images/ai/art/leonardo_phoenix_art_10.png,true,Leonardo Phoenix,art
ai_art_leonardo_phoenix_art_04.png,images/ai/art/leonardo_phoenix_art_04.png,true,Leonardo Phoenix,art
ai_art_grok_aurora_art_02.png,images/ai/art/grok_aurora_art_02.png,true,Grok Aurora,art
ai_art_seedream_v4_art_01.png,images/ai/art/seedream_v4_art_01.png,true,Seedream,art
ai_art_ideogram_v3_art_06.png,images/ai/art/ideogram_v3_art_06.png,true,Ideogram v3,art
ai_art_recraft_v3_art_08.png,images/ai/art/recraft_v3_art_08.png,true,Recraft v3,art
ai_art_hunyuan_v3_art_05.png,images/ai/art/hunyuan_v3_art_05.png,true,Hunyuan v3,art
ai_art_hunyuan_v3_art_01.png,images/ai/art/hunyuan_v3_art_01.png,true,Hunyuan v3,art
ai_art_ideogram_v3_art_02.png,images/ai/art/ideogram_v3_art_02.png,true,Ideogram v3,art
ai_art_flux_pro_v1.1_art_09.png,images/ai/art/flux_pro_v1.1_art_09.png,true,Flux Pro v1.1,art
ai_art_seedream_v4_art_05.png,images/ai/art/seedream_v4_art_05.png,true,Seedream,art
ai_art_grok_aurora_art_06.png,images/ai/art/grok_aurora_art_06.png,true,Grok Aurora,art
ai_art_grok_aurora_art_07.png,images/ai/art/grok_aurora_art_07.png,true,Grok Aurora,art
ai_art_leonardo_phoenix_art_01.png,images/ai/art/leonardo_phoenix_art_01.png,true,Leonardo Phoenix,art
ai_art_seedream_v4_art_04.png,images/ai/art/seedream_v4_art_04.png,true,Seedream,art
ai_art_seedream_v4_art_10.png,images/ai/art/seedream_v4_art_10.png,true,Seedream,art
ai_art_flux_pro_v1.1_art_08.png,images/ai/art/flux_pro_v1.1_art_08.png,true,Flux Pro v1.1,art
ai_art_ideogram_v3_art_03.png,images/ai/art/ideogram_v3_art_03.png,true,Ideogram v3,art
ai_art_hunyuan_v3_art_02.png,images/ai/art/hunyuan_v3_art_02.png,true,Hunyuan v3,art
ai_art_gpt_image_1.5_art_08.png,images/ai/art/gpt_image_1.5_art_08.png,true,Gpt,art
ai_art_ideogram_v3_art_01.png,images/ai/art/ideogram_v3_art_01.png,true,Ideogram v3,art
ai_art_gemini_3_pro_art_09.png,images/ai/art/gemini_3_pro_art_09.png,true,Gemini 3 Pro,art
ai_art_seedream_v4_art_06.png,images/ai/art/seedream_v4_art_06.png,true,Seedream,art
ai_art_leonardo_phoenix_art_03.png,images/ai/art/leonardo_phoenix_art_03.png,true,Leonardo Phoenix,art
ai_art_grok_aurora_art_05.png,images/ai/art/grok_aurora_art_05.png,true,Grok Aurora,art
ai_art_grok_aurora_art_10.png,images/ai/art/grok_aurora_art_10.png,true,Grok Aurora,art
ai_art_grok_aurora_art_04.png,images/ai/art/grok_aurora_art_04.png,true,Grok Aurora,art
ai_art_leonardo_phoenix_art_02.png,images/ai/art/leonardo_phoenix_art_02.png,true,Leonardo Phoenix,art
ai_art_seedream_v4_art_07.png,images/ai/art/seedream_v4_art_07.png,true,Seedream,art
ai_art_gemini_3_pro_art_08.png,images/ai/art/gemini_3_pro_art_08.png,true,Gemini 3 Pro,art
ai_art_gpt_image_1.5_art_09.png,images/ai/art/gpt_image_1.5_art_09.png,true,Gpt,art
